parent_category,parent_category_link,category,category_link,level
Celebrations Main Page,/f/party-shop,Build a Custom Cake Online,/onlinedeli/servlet/en/delibakery/cakes/licensed-cakes?loaded=true,9
Celebrations Main Page,/f/party-shop,Order Premade Cakes,/onlinedeli/servlet/en/delibakery/cakes/special-occasion-cakes,9
Celebrations Main Page,/f/party-shop,Baking Essentials,/search?keyword=CelebrationBaking&query=CelebrationBaking&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,9
Celebrations Main Page,/f/party-shop,Party Décor & Supplies,/search?keyword=CelebrationSuppliesDecor&query=CelebrationSuppliesDecor&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,9
Celebrations Main Page,/f/party-shop,Sweet Treats & Candy,/d/candy,9
Celebrations Main Page,/f/party-shop,Flowers,/d/floral,9
Celebrations Main Page,/f/party-shop,"Food, Snacks & Beverages",/f/party-foods,9
Celebrations Main Page,/f/party-shop,Gifting Essentials,/f/party-gifts,9
Celebrations Main Page,/f/party-shop,Birthday,/f/birthdays,9
Celebrations Main Page,/f/party-shop,Graduation,/f/graduation,9
Celebrations Main Page,/f/party-shop,Anniversary,/search?keyword=CelebrationAnniversary&query=CelebrationAnniversary&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,9
Celebrations Main Page,/f/party-shop,Baby,/d/baby,9
Gifting Essentials,/f/party-gifts,Celebrations Main Page,/f/party-shop?pzn=relevance,9
Gifting Essentials,/f/party-gifts,Birthday Must-Haves,/f/birthdays?pzn=relevance,9
Gifting Essentials,/f/party-gifts,"Snacks, Main Dishes & Fresh Cocktails",/search?keyword=Summer2020CelebrationSnacksChips&query=Summer2020CelebrationSnacksChips&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,9
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Online Ordering,/orderonline?pzn=relevance,9
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Grab & Go Options,/search?keyword=Celebrationgrabngofood&query=Celebrationgrabngofood&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,9
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Snacks & Chips,/search?keyword=Summer2020CelebrationSnacksChips&query=Summer2020CelebrationSnacksChips&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,9
