parent_category,category_link,reason
Japanese,/search?keyword=2024AAPIJapaneseEssentials&query=2024AAPIJapaneseEssentials&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Filipino,/search?keyword=2024AAPIFilipinoEssentials&query=2024AAPIFilipinoEssentials&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Korean,/search?keyword=2024AAPIKoreanEssentials&query=2024AAPIKoreanEssentials&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Chinese,/search?keyword=2024AAPIChineseEssentials&query=2024AAPIChineseEssentials&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Indian,/search?keyword=2024AAPIIndianEssentials&query=2024AAPIIndianEssentials&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Indian,/d/international-asian-indian,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Chinese,/d/international-asian-chinese,page not loaded
Recipes,/recipes/search?searchTerm=murray%27s&page=1,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Gifting & Entertaining
(Opens in a new tab or window)",https://www.murrayscheese.com/murrays-cheese-at-kroger,page not loaded
"Follow the Curd
(Opens in a new tab or window)",https://www.murrayscheese.com/cheezemail,page not loaded
Chips & Puffs,/search?keyword=ChipsPuffsMore&query=ChipsPuffsMore&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cookies,/pl/cookies/01021?taxonomyId=01021&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Crackers,/pl/crackers/01026?taxonomyId=01026&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Popcorn,/pl/popcorn/0102000007?facets=true&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Nuts & Seeds,/pl/nuts-seeds/0102000002?facets=true&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Pretzels,/pl/pretzels/0102000005?facets=true&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Granola Bars,/pl/granola-bars/0102000027,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Trail Mix,/pl/trail-mix/0102000001,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Rice Cakes,/pl/rice-cakes/0102000014,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Snack Cakes & Pies,/pl/snack-cakes-pies/0102000010,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Beef Jerky & Dried Meat,/pl/beef-jerky-dried-meat/0102000004,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Raisins & Dried Fruit,/pl/raisins-dried-fruit/0102000003,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Fruit Snacks,/pl/fruit-snacks/0102000013,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
