parent_category,parent_category_link,category,category_link,level
More Easter Recipes,/blog/seasonal/easter,Easter Meal Ingredients,/f/easter,7
More Easter Recipes,/blog/seasonal/easter,Brunch Recipes,/blog/brunch-recipes,7
Shop Summer Ingredients,/f/summer-shop,Condiments & Seasonings,/search?keyword=Summer25CondimentsSeasonings&query=Summer25CondimentsSeasonings&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,7
Shop Summer Ingredients,/f/summer-shop,Grilling & Accessories,/search?keyword=Summer25GrillingAccessories&query=Summer25GrillingAccessories&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,7
Shop Summer Ingredients,/f/summer-shop,Cookout Essentials,/search?keyword=Summer25CookoutEssentials&query=Summer25CookoutEssentials&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,7
Medication Adherence,/health/pharmacy/medication-adherence-services,View All Healthcare Departments,/health,7
Medication Adherence,/health/pharmacy/medication-adherence-services,Explore the Pharmacy,/health/pharmacy,7
Medication Adherence,/health/pharmacy/medication-adherence-services,Manage Your Prescriptions,/rx/landing-page?redirectUrl=/rx/dashboard,7
Medication Adherence,/health/pharmacy/medication-adherence-services,Find a Pharmacy,/stores/search?selectedStoreFilters=Pharmacy&hash=Pharmacy,7
Medication Adherence,/health/pharmacy/medication-adherence-services,"Get Vaccinated
(Opens in a new tab or window)",/health/clinic/vaccinations,7
Medication Adherence,/health/pharmacy/medication-adherence-services,See Our FAQs,/health/pharmacy/faqs/prescriptions,7
Shop Health & Wellness Items,/d/health,"Cold, Cough & Flu",/pl/cold-cough-flu/22011?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Allergy & Sinus,/pl/allergy-sinus/22012?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Pain & Fever,/pl/pain-fever/22005?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Children's Medicine,/pl/children-s-medicine/22014?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Vitamins & Supplements,/pl/vitamins-supplements/22013?searchType=mktg%20attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Immune Support,/pl/immune-system-supports/2201100003?fulfillment=all&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Digestive Health & Nausea,/pl/digestive-health-nausea/22001?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Protein Shakes & Powders,/pl/diet-adult-nutrition/22010?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Sleep Aids,/pl/sleep-aids/22006?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,First Aid,/pl/first-aid/22004?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Sunscreen,/pl/all/00?fulfillment=all&query=sunscreen&searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Energy & Stimulants,/pl/energy-stimulants/22008?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Eye Care,/pl/eye-care/22002?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Foot Care,/pl/foot-care/22007?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Home Healthcare Solutions,/pl/home-healthcare-solutions/22009?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Sexual Health,/pl/sexual-health/22015?searchType=mktg attribute&pzn=relevance,7
Shop Health & Wellness Items,/d/health,Shop All,/pl/health-wellness/22?fulfillment=all,7
Weight Management,/health/weight-management,View All Healthcare Departments,/health,7
Weight Management,/health/weight-management,Explore The Little Clinic,/health/clinic,7
Weight Management,/health/weight-management,Explore Healthy Nutrition,/health/info,7
Weight Management,/health/weight-management,Shop by Dietary Lifestyle,/f/shop-by-diet,7
Weight Management,/health/weight-management,Find Better-for-You Recipes,/blog/health/better-for-you-recipes,7
Weight Management,/health/weight-management,Explore the Pharmacy,/health/pharmacy,7
Not Feeling Well,/health/clinic/services/not-feeling-well,View All Clinic Services,/health/clinic/services,7
Not Feeling Well,/health/clinic/services/not-feeling-well,Explore The Little Clinic,/health/clinic,7
Not Feeling Well,/health/clinic/services/not-feeling-well,Find a Clinic,/health-services/clinic/locations,7
