parent_category,category_link,reason
Fresh Fruit,/pl/fresh-fruit/06111?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Fresh Vegetables,/pl/fresh-vegetables/06112?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Fresh Herbs,/pl/fresh-herbs/06122?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Organic Produce,/pl/organic-produce/18003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Salads,/pl/salads/06114?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dressings & Dips,/pl/dressings-dips/06110?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Fresh-cut Fruit & Vegetables,/pl/fresh-cut-fruit-vegetables/06121?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Packaged Produce,/pl/packaged-produce/06123?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Party Trays,/pl/party-trays/06119?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Fresh Juice & Smoothies,/pl/fresh-juice-smoothies/06113?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Beef,/pl/beef/05001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Chicken,/pl/chicken/05002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Pork & Ham,/pl/pork-ham/05006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Turkey,/pl/turkey/05012?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Lamb, Veal & Bison",/pl/lamb-veal-bison/05014?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Specialty Meat,/pl/specialty-meat/05011?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bacon & Breakfast Sausage,/pl/bacon-breakfast-sausage/05017?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Packaged & Sliced Deli Meat,/pl/packaged-deli-meat/05013?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dinner Sausage,/pl/dinner-sausage/05003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Heat & Serve Meals & Sides,/pl/heat-serve-meals-and-sides/05016?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Hot Dogs & Franks,/pl/hot-dogs-franks/05005?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Pepperoni, Salami & Summer Sausage",/pl/pepperoni-salami-summer-sausage/05015?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Meat,/search?keyword=frozenmeat&query=frozenmeat&searchType=mktgattribute&monet=curated&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Ready-to-cook,/search?keyword=HomeChefReadytoCook&query=HomeChefReadytoCook&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Lunch & Snack Kits,/pl/lunch-snack-kits/05018?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Canned Meat,/pl/canned-meat/0100600006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Enhancements,/pl/refrigerated-pickles-sauerkraut/05008?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Plant-based Meat,/search?keyword=Meat2020Meatless&query=Meat2020Meatless&searchType=mktg%20%20attribute&monet=curated&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Meatless Choices,/pl/frozen-meat-alternatives/1900800005?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Shrimp,/pl/shrimp/0501000009?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Wild-caught Fillets,/search?keyword=SeafoodDeptWildCaughtFish&query=SeafoodDeptWildCaughtFish&searchType=mktg%20attribute&monet=promo&fullfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Crab & Shellfish,/search?keyword=SeafoodDeptCrabShellFish&query=SeafoodDeptCrabShellFish&searchType=mktg%20attribute&monet=promo&fullfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Farm-raised Fillets,/search?keyword=SeafoodDeptFarmRaisedFish&query=SeafoodDeptFarmRaisedFish&searchType=mktg%20attribute&monet=promo&fullfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Seafood,/search?keyword=frozenseafoodfresh&query=frozenseafoodfresh&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Breaded Fish,/pl/frozen-fish/1900800003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Breaded Shrimp,/search?keyword=seafoodbreadedshrimp&query=seafoodbreadedshrimp&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Smoked Salmon,/search?keyword=SeafoodDeptSmokedSalmon&query=SeafoodDeptSmokedSalmon&searchType=mktg%20attribute&monet=promo&fullfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Seafood Salads & Dips,/pl/seafood-salads-dips/0500400020?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Canned Seafood,/pl/canned-seafood/0100600007?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
