parent_category,category_link,reason
Check Out OptUP™,/health/pharmacy/optup,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Find a Clinic,/health-services/clinic/locations,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Access the Patient Portal
(Opens in a new tab or window)",https://mycw98.ecwcloud.com/portal13353/jsp/100mp/login_otp.jsp,page not loaded
Get Vaccinated,/health/clinic/vaccinations,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Vaccines & Injections,/health/clinic/vaccinations,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Find a Clinic,/health-services/clinic/locations,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Access the Patient Portal,https://mycw98.ecwcloud.com/portal13353/jsp/100mp/login_otp.jsp,page not loaded
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Manage Your Prescriptions,/rx/landing-page?redirectUrl=/rx/dashboard,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Find a Pharmacy,/stores/pharmacy,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Find a Clinic,/health-services/clinic/locations,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Access the Patient Portal
(Opens in a new tab or window)",https://mycw98.ecwcloud.com/portal13353/jsp/100mp/login_otp.jsp,page not loaded
Get Vaccinated,/health/clinic/vaccinations,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Vaccines & Injections,/health/clinic/vaccinations,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Find a Clinic,/health-services/clinic/locations,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Access the Patient Portal,https://mycw98.ecwcloud.com/portal13353/jsp/100mp/login_otp.jsp,page not loaded
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Manage Your Prescriptions,/rx/landing-page?redirectUrl=/rx/dashboard,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Find a Pharmacy,/stores/pharmacy,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
