parent_category,parent_category_link,category,category_link,level
Check Out OptUP™,/health/pharmacy/optup,View All Healthcare Departments,/health,6
Check Out OptUP™,/health/pharmacy/optup,Explore Healthy Nutrition,/health/info,6
Check Out OptUP™,/health/pharmacy/optup,View My Nutrition Insights,/nutritioninsights,6
Check Out OptUP™,/health/pharmacy/optup,Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,6
Check Out OptUP™,/health/pharmacy/optup,Better-For-You Recipes,/blog/health/better-for-you-recipes,6
Check Out OptUP™,/health/pharmacy/optup,Shop by Diet,/f/shop-by-diet,6
Explore Healthy Nutrition,/health/info,Tracey Shaffer,/health/experts/tracey-shaffer,6
Explore Healthy Nutrition,/health/info,Stephanie Skinner-Lucas,/health/experts/stephanie-skinner-lucas,6
Explore Healthy Nutrition,/health/info,Marcella Ranieri,/health/experts/marcella-ranieri,6
Explore Healthy Nutrition,/health/info,Kristen Keen,/health/experts/kristen-keen,6
Explore Healthy Nutrition,/health/info,Elizabeth Calvelage,/health/experts/elizabeth-calvelage,6
Explore Healthy Nutrition,/health/info,View All Dietitians,/health/registered-dietitians,6
Explore Healthy Nutrition,/health/info,Enhance Your Heart Health†,/health/info/heart-health,6
Explore Healthy Nutrition,/health/info,Learn About Diabetes Management†,/health/info/diabetes-care,6
Explore Healthy Nutrition,/health/info,Improve Your Digestion & Gut Health†,/health/info/digestive-system-health,6
Explore Healthy Nutrition,/health/info,Boost Your Immune System†,/health/info/immune-support,6
Explore Healthy Nutrition,/health/info,Strengthen Your Mental Wellness†,/health/info/mental-wellness,6
Explore Healthy Nutrition,/health/info,View All Healthcare Departments,/health,6
Explore Healthy Nutrition,/health/info,Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,6
Explore Healthy Nutrition,/health/info,Shop by Dietary Lifestyle,/f/shop-by-diet,6
Explore Healthy Nutrition,/health/info,Check Out OptUP™,/health/pharmacy/optup,6
Explore Healthy Nutrition,/health/info,Explore Food & OTC Benefit Cards,/i/benefit-card,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,View All Healthcare Departments,/health,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Explore Healthy Nutrition,/health/info,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Explore The Little Clinic,/health/clinic,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Meet Our Dietitians,/health/registered-dietitians,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Browse Wellness Articles,/blog/health,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Check Out OptUP™,/health/pharmacy/optup,6
Shop by Dietary Lifestyle,/f/shop-by-diet,Keto-Friendly,/f/shop-by-diet/keto-groceries,6
Shop by Dietary Lifestyle,/f/shop-by-diet,Mediterranean,/f/shop-by-diet/mediterranean-groceries,6
Shop by Dietary Lifestyle,/f/shop-by-diet,Plant-Based,/f/shop-by-diet/plant-based-groceries,6
Shop by Dietary Lifestyle,/f/shop-by-diet,Gluten-Free,/f/shop-by-diet/gluten-free-groceries,6
Check Out OptUP™,/health/pharmacy/optup,View All Healthcare Departments,/health,6
Check Out OptUP™,/health/pharmacy/optup,Explore Healthy Nutrition,/health/info,6
Check Out OptUP™,/health/pharmacy/optup,View My Nutrition Insights,/nutritioninsights,6
Check Out OptUP™,/health/pharmacy/optup,Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,6
Check Out OptUP™,/health/pharmacy/optup,Better-For-You Recipes,/blog/health/better-for-you-recipes,6
Check Out OptUP™,/health/pharmacy/optup,Shop by Diet,/f/shop-by-diet,6
Explore Healthy Nutrition,/health/info,Tracey Shaffer,/health/experts/tracey-shaffer,6
Explore Healthy Nutrition,/health/info,Stephanie Skinner-Lucas,/health/experts/stephanie-skinner-lucas,6
Explore Healthy Nutrition,/health/info,Marcella Ranieri,/health/experts/marcella-ranieri,6
Explore Healthy Nutrition,/health/info,Kristen Keen,/health/experts/kristen-keen,6
Explore Healthy Nutrition,/health/info,Elizabeth Calvelage,/health/experts/elizabeth-calvelage,6
Explore Healthy Nutrition,/health/info,View All Dietitians,/health/registered-dietitians,6
Explore Healthy Nutrition,/health/info,Enhance Your Heart Health†,/health/info/heart-health,6
Explore Healthy Nutrition,/health/info,Learn About Diabetes Management†,/health/info/diabetes-care,6
Explore Healthy Nutrition,/health/info,Improve Your Digestion & Gut Health†,/health/info/digestive-system-health,6
Explore Healthy Nutrition,/health/info,Boost Your Immune System†,/health/info/immune-support,6
Explore Healthy Nutrition,/health/info,Strengthen Your Mental Wellness†,/health/info/mental-wellness,6
Explore Healthy Nutrition,/health/info,View All Healthcare Departments,/health,6
Explore Healthy Nutrition,/health/info,Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,6
Explore Healthy Nutrition,/health/info,Shop by Dietary Lifestyle,/f/shop-by-diet,6
Explore Healthy Nutrition,/health/info,Check Out OptUP™,/health/pharmacy/optup,6
Explore Healthy Nutrition,/health/info,Explore Food & OTC Benefit Cards,/i/benefit-card,6
Better-for-You Recipes,/blog/health/better-for-you-recipes,Grilled Pineapple Poblano Guacamole,/r/grilled-pineapple-poblano-guacamole-recipe/5d08f9779da07c1bfa12a76a,6
Better-for-You Recipes,/blog/health/better-for-you-recipes,Shrimp with Avocado Peach Salsa,/r/keto-grilled-shrimp-with-avocado-peach-salad-recipe/628a5cc0-e09b-49d5-b468-2bc70ad453bb,6
Better-for-You Recipes,/blog/health/better-for-you-recipes,Steak and Potato Salad,/r/grilled-steak-potato-party-salad-recipe/5d08f65f9da07c1bfa12a734,6
Better-for-You Recipes,/blog/health/better-for-you-recipes,Chicken and Summer Squash Packets,/r/chicken-summer-squash-packets-recipe/5b34040984ae5310116e36a5,6
Better-for-You Recipes,/blog/health/better-for-you-recipes,Turkey Burgers,/r/turkey-burgers-recipe/104051,6
Better-for-You Recipes,/blog/health/better-for-you-recipes,Pork Chop with Peach Pan Sauce,/r/pork-chops-with-peach-pan-sauce-recipe/899966ee-fc34-411a-be3b-79bd3f8bc16f,6
Better-for-You Recipes,/blog/health/better-for-you-recipes,Virtual Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,6
Better-for-You Recipes,/blog/health/better-for-you-recipes,Dietary Lifestyles,/f/shop-by-diet,6
Better-for-You Recipes,/blog/health/better-for-you-recipes,OptUP®,/health/pharmacy/optup,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,View All Healthcare Departments,/health,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Explore Healthy Nutrition,/health/info,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Explore The Little Clinic,/health/clinic,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Meet Our Dietitians,/health/registered-dietitians,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Browse Wellness Articles,/blog/health,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Check Out OptUP™,/health/pharmacy/optup,6
Shop Dietary Lifestyles,/f/shop-by-diet,Keto-Friendly,/f/shop-by-diet/keto-groceries,6
Shop Dietary Lifestyles,/f/shop-by-diet,Mediterranean,/f/shop-by-diet/mediterranean-groceries,6
Shop Dietary Lifestyles,/f/shop-by-diet,Plant-Based,/f/shop-by-diet/plant-based-groceries,6
Shop Dietary Lifestyles,/f/shop-by-diet,Gluten-Free,/f/shop-by-diet/gluten-free-groceries,6
Check Out OptUP™,/health/pharmacy/optup,View All Healthcare Departments,/health,6
Check Out OptUP™,/health/pharmacy/optup,Explore Healthy Nutrition,/health/info,6
Check Out OptUP™,/health/pharmacy/optup,View My Nutrition Insights,/nutritioninsights,6
Check Out OptUP™,/health/pharmacy/optup,Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,6
Check Out OptUP™,/health/pharmacy/optup,Better-For-You Recipes,/blog/health/better-for-you-recipes,6
Check Out OptUP™,/health/pharmacy/optup,Shop by Diet,/f/shop-by-diet,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,Gluten-Free Bread,/search?keyword=SpecialtyDietsGlutenFreeBread&query=SpecialtyDietsGlutenFreeBread&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance ,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,Gluten-Free Pasta,/search?keyword=SpecialtyDietsGlutenFreePasta&query=SpecialtyDietsGlutenFreePasta&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,Gluten-Free Cereal,/search?keyword=SpecialtyDietsGlutenFreeCereal&query=SpecialtyDietsGlutenFreeCereal&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,Gluten-Free Flour,/search?keyword=SpecialtyDietsGlutenFreeFlour&query=SpecialtyDietsGlutenFreeFlour&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance ,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,View All Dietary Lifestyles,/f/shop-by-diet,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,Explore Healthy Nutrition,/health/info,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,Learn About Virtual Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,Check Out OptUP™,/health/pharmacy/optup,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,Browse Wellness Articles,/blog/health,6
Gluten-Free,/f/shop-by-diet/gluten-free-groceries,Discover Easy Meal Solutions,/blog/meal-planning,6
Explore Healthy Nutrition,/health/info,Tracey Shaffer,/health/experts/tracey-shaffer,6
Explore Healthy Nutrition,/health/info,Stephanie Skinner-Lucas,/health/experts/stephanie-skinner-lucas,6
Explore Healthy Nutrition,/health/info,Marcella Ranieri,/health/experts/marcella-ranieri,6
Explore Healthy Nutrition,/health/info,Kristen Keen,/health/experts/kristen-keen,6
Explore Healthy Nutrition,/health/info,Elizabeth Calvelage,/health/experts/elizabeth-calvelage,6
Explore Healthy Nutrition,/health/info,View All Dietitians,/health/registered-dietitians,6
Explore Healthy Nutrition,/health/info,Enhance Your Heart Health†,/health/info/heart-health,6
Explore Healthy Nutrition,/health/info,Learn About Diabetes Management†,/health/info/diabetes-care,6
Explore Healthy Nutrition,/health/info,Improve Your Digestion & Gut Health†,/health/info/digestive-system-health,6
Explore Healthy Nutrition,/health/info,Boost Your Immune System†,/health/info/immune-support,6
Explore Healthy Nutrition,/health/info,Strengthen Your Mental Wellness†,/health/info/mental-wellness,6
Explore Healthy Nutrition,/health/info,View All Healthcare Departments,/health,6
Explore Healthy Nutrition,/health/info,Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,6
Explore Healthy Nutrition,/health/info,Shop by Dietary Lifestyle,/f/shop-by-diet,6
Explore Healthy Nutrition,/health/info,Check Out OptUP™,/health/pharmacy/optup,6
Explore Healthy Nutrition,/health/info,Explore Food & OTC Benefit Cards,/i/benefit-card,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,View All Healthcare Departments,/health,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Explore Healthy Nutrition,/health/info,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Explore The Little Clinic,/health/clinic,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Meet Our Dietitians,/health/registered-dietitians,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Browse Wellness Articles,/blog/health,6
Learn About Nutrition Counseling,/health/clinic/services/virtual-care#virtualnutrition,Check Out OptUP™,/health/pharmacy/optup,6
Shop by Diet,/f/shop-by-diet,Keto-Friendly,/f/shop-by-diet/keto-groceries,6
Shop by Diet,/f/shop-by-diet,Mediterranean,/f/shop-by-diet/mediterranean-groceries,6
Shop by Diet,/f/shop-by-diet,Plant-Based,/f/shop-by-diet/plant-based-groceries,6
Shop by Diet,/f/shop-by-diet,Gluten-Free,/f/shop-by-diet/gluten-free-groceries,6
